productId,name,brand,color,price,description,category,tags,rating,reviews,imgUrl,reasoning_lead,reasoning_body,reasoning_urgent,match_reason,badge,tier,image_verified,embedding
1,Italian Linen Camp Shirt,Pellier Editions,Indigo,128.0,Breathable Italian linen with an easy camp collar and mother-of-pearl buttons. Softens with every wash.,Linen,"[""minimal"", ""serene"", ""classic"", ""warm"", ""neutral"", ""everyday"", ""slow"", ""linen""]",4.8,214,https://images.unsplash.com/photo-1740711152088-88a009e877bb?w=1600&q=85,Picked because linen breathes beautifully in July,,,"linen, warm, everyday",EDITORS_PICK,1,true,
2,Wide-Leg Linen Trousers,Pellier Editions,Oatmeal,98.0,Flowing wide-leg silhouette in garment-washed linen. Cut long with a relaxed waistband that moves with you.,Linen,"[""creative"", ""bold"", ""warm"", ""earth"", ""everyday"", ""travel"", ""linen""]",4.7,166,https://images.unsplash.com/photo-1621767527621-ecdea6e1c522?w=1600&q=85,"Matched on: earth, warm, travel",,,"earth, warm, travel",,1,true,
3,Signature Straw Tote,Pellier Editions,Sand,68.0,Hand-woven seagrass tote with leather handles that darken beautifully with wear. Roomy enough for a weekend.,Accessories,"[""classic"", ""serene"", ""neutral"", ""soft"", ""travel"", ""everyday"", ""accessories""]",4.9,402,https://images.unsplash.com/photo-1657118493503-9cabb641a033?w=1600&q=85,Price watch: $14 below category average.,,Only 3 left.,"travel, everyday, accessories",BESTSELLER,1,true,
4,Relaxed Oxford Shirt,Pellier Editions,Chambray,88.0,"Japanese oxford cotton with a soft collar roll. Tailored through the shoulder, relaxed through the body.",Linen,"[""classic"", ""minimal"", ""neutral"", ""soft"", ""everyday"", ""work"", ""linen""]",4.6,131,https://images.unsplash.com/photo-1732605559386-bc59426d1b16?w=1600&q=85,"Gift-ready: signature packaging, arrives tomorrow",,,"everyday, work, classic",,1,true,
5,Sundress in Washed Linen,Pellier Editions,Russet,148.0,Midi-length sundress cut from washed linen in warm russet. Bias-cut skirt with a low tie back.,Dresses,"[""creative"", ""bold"", ""warm"", ""earth"", ""evening"", ""dresses"", ""linen""]",4.9,286,https://images.unsplash.com/photo-1667905632551-361dd00e5e35?w=1600&q=85,Picked because you mentioned warm evenings,,,"evening, warm, dresses",JUST_IN,1,true,
6,Leather Slide Sandal,Pellier Editions,Onyx,112.0,Vegetable-tanned Italian leather with a cushioned footbed that molds to your step. Hand-finished edges.,Footwear,"[""minimal"", ""classic"", ""earth"", ""warm"", ""everyday"", ""travel"", ""footwear""]",4.7,178,https://images.unsplash.com/photo-1625318880107-49baad6765fd?w=1600&q=85,"Matched on: classic, warm, travel",,,"classic, warm, travel",,1,true,
7,Cashmere-Blend Cardigan,Pellier Editions,Forest,158.0,"Long-line cardigan in a cashmere and merino blend. Ribbed cuffs, dropped shoulder, enough weight to drape.",Outerwear,"[""minimal"", ""serene"", ""classic"", ""neutral"", ""earth"", ""slow"", ""evening"", ""outerwear""]",4.8,244,https://images.unsplash.com/photo-1687275168013-dcc11d9c74ab?w=1600&q=85,Price watch: $8 below category average.,,Only 5 left.,"slow, evening, outerwear",,1,true,
8,Ceramic Tumbler Set,Pellier Home,Stoneware,52.0,"Set of four hand-thrown stoneware tumblers with a pale matte glaze. Each one slightly different, all dishwasher safe.",Home,"[""minimal"", ""serene"", ""creative"", ""neutral"", ""soft"", ""slow"", ""home""]",4.9,358,https://images.unsplash.com/photo-1610701596007-11502861dcfa?w=1600&q=85,Quiet layer that earns its evenings,,,"slow, home, minimal",,1,true,
9,Linen Utility Jacket,Pellier Editions,Flax,178.0,"Workwear-inspired utility jacket in heavyweight linen. Four patch pockets, horn buttons, a collar that stands.",Outerwear,"[""adventurous"", ""creative"", ""earth"", ""neutral"", ""outdoor"", ""travel"", ""outerwear""]",4.7,152,https://images.unsplash.com/photo-1691053318576-4bf08315e877?w=1600&q=85,Picked because you liked outdoor layers,,,"outdoor, travel, outerwear",,1,true,
10,Featherweight Trail Runner,Pellier Editions,Ember · 9.5,168.0,Lightweight trail runner with a breathable knit upper and a grippy rubber outsole. Engineered for warm-weather miles.,Footwear,"[""adventurous"", ""warm"", ""outdoor"", ""everyday"", ""travel"", ""footwear""]",4.9,1400,https://images.unsplash.com/photo-1469395446868-fb6a048d5ca3?w=1600&q=85,Picked because the weave catches the last bit of golden hour,,,"athletic, footwear, gift",JUST_IN,1,true,
